deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
연립다세대_매매,202606,11500,화곡동,346-86,우성A동B동(346-86),34.29,5,2014,2026,6,22,28500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,330-14,신영리치빌(330-14),41.18,6,2017,2026,6,24,34000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,966-25,한빛타운(966-25),49.76,4,2001,2026,6,25,24000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,155-15,(155-15),33.12,1,1986,2026,6,23,10500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,가양동,239-20,그랜드빌,56.37,4,2013,2026,6,29,40500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,811-8,혜성펠리스(811-8),29.86,2,2011,2026,6,30,14000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,379-47,화성빌라(379-47),60.12,5,2009,2026,6,27,20000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,염창동,242-31,이가채(242-31),52.98,5,2012,2026,6,25,47000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,850-6,채원빌,58.08,4,2012,2026,6,27,43000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,1039-27,동양탑스빌,74.32,4,2001,2026,6,23,34000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,803-6,엠펠리체,40.44,2,2015,2026,6,23,24000,,,,,,,,직거래,O
연립다세대_매매,202606,11500,화곡동,815-7,대원맨션,59.32,3,2001,2026,6,26,27200,,,,,,,,중개거래,
연립다세대_매매,202606,11500,방화동,645-17,중앙캐슬,46.46,5,2017,2026,6,23,32000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,962-6,대림힐탑,41.43,1,2010,2026,6,27,25000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,407-3,우성테마빌B동(407-3),48.33,3,2005,2026,6,27,18000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,70-43,부일쉐르빌B동,59.2,3,2002,2026,6,30,22000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,857-16,소망빌라,65.55,2,2002,2026,6,26,51500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,등촌동,523-39,태현맨션,55.26,4,2001,2026,6,29,39000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,370-30,케이씨하우징,29.08,3,2021,2026,6,25,20600,,,,,,,,중개거래,
연립다세대_매매,202606,11500,등촌동,530-24,SK파크리움(530-24),21.82,1,2020,2026,6,15,24500,,,,,,,,직거래,
연립다세대_매매,202606,11500,등촌동,365-91,예진빌라,43.42,3,2002,2026,6,15,23000,,,,,,,,직거래,
연립다세대_매매,202606,11500,등촌동,530-27,예지보금자리45차,57.9,4,2007,2026,6,15,27000,,,,,,,,직거래,
연립다세대_매매,202606,11500,화곡동,163-19,가온빌(163-19),26.41,5,2015,2026,6,29,25000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,42-55,스카이빌라(42-55),76.4,4,1993,2026,6,9,34000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,46-145,동도하이츠빌라,62.55,4,2001,2026,6,22,22000,,,,,,,,직거래,
연립다세대_매매,202606,11500,내발산동,699-17,청솔리더스,29.84,3,2017,2026,6,25,23200,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,851-15,월드스카이빌,52.91,4,2012,2026,6,18,51000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,410-3,삼성빌라트B동,58.39,1,2000,2026,6,25,17000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,55-73,클레식뷰B동(55-73),59.49,2,2002,2026,6,24,23500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,방화동,281-56,공작빌라2차,78.96,3,2001,2026,6,9,35000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,염창동,273-25,석경트라움,35.8,2,2012,2026,6,8,31800,,,,,,,,중개거래,
연립다세대_매매,202606,11500,방화동,557-7,남성아트빌,30.84,2,2018,2026,6,20,20700,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,988-11,동광빌라(988-11),23.97,5,2002,2026,6,8,13000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,153-7,정감하우스,43.78,3,2016,2026,6,25,27000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,마곡동,1335,마곡서림빌,41.92,4,2022,2026,6,26,37000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,424-69,감성빌,33.67,4,2016,2026,6,17,25500,,,,,,,,직거래,
연립다세대_매매,202606,11500,등촌동,569-21,더원2-1th,29.27,5,2023,2026,6,30,29000,,,,,,,,직거래,
연립다세대_매매,202606,11500,공항동,674-8,신안온누리,40.99,3,2014,2026,6,23,25500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,56-430,칭찬빌,29.77,4,2011,2026,6,23,13500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,371-39,주영넥스빌,64.8,1,2003,2026,6,30,24300,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,866-3,광성하이츠,36.9,4,2003,2026,6,26,13300,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,105-121,하이트맨션,61.68,1,1999,2026,6,26,31000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,379-35,라온빌리지,23.59,4,2016,2026,6,16,19900,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,379-20,드림빌,67.07,2,2008,2026,6,16,28000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,등촌동,514-60,미라벨,42.955,2,2014,2026,6,18,33500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,780-12,시온빌리지,33.78,3,2016,2026,6,9,39500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,410-18,우주빌라트,62.22,2,2001,2026,6,11,22000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,871-21,스페이스빌비동,37.76,3,2016,2026,6,25,24000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,788-18,올림푸스(788-18),38.86,4,2014,2026,6,18,42000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,354-6,남성아트빌1,25.22,5,2015,2026,6,24,23000,,,,,,,,직거래,
연립다세대_매매,202606,11500,화곡동,1040-13,크로바리버빌,51.34,3,2002,2026,6,15,22900,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,370-30,케이씨하우징,29.08,3,2021,2026,6,25,20600,,,,,,,,중개거래,O
연립다세대_매매,202606,11500,화곡동,105-79,성도스카이빌,68.77,4,2001,2026,6,26,29000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,933-11,아줄리아,35,6,2015,2026,6,29,23000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,1083-21,빌라엔A동,43.07,6,2017,2026,6,27,33000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,29-65,도양라비앙빌,55.79,5,2010,2026,6,21,30700,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,987-10,신하우스,29.88,5,2016,2026,6,24,20300,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,960-3,진주빌라(960-3),49.67,1,1991,2026,6,27,18000,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,105-55,계명위너스(105-55),41.58,3,2011,2026,6,19,19400,,,,,,,,중개거래,
연립다세대_매매,202606,11500,화곡동,357-6,신성네오빌,38.25,4,2018,2026,6,27,28500,,,,,,,,중개거래,
연립다세대_매매,202606,11500,마곡동,1446,동양빌라,51.9,4,1994,2026,6,27,15000,,,,,,,,직거래,
연립다세대_매매,202606,11500,염창동,266-7,대아파크빌,29.86,5,2016,2026,6,29,22000,,,,,,,,중개거래,
