deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
연립다세대_전월세,202602,11500,마곡동,1245,마곡스카이B단지,30,4,2019,2026,2,27,,20700,5,,,,,,,
연립다세대_전월세,202602,11500,화곡동,56-260,화성빌라(56-260),48.12,-1,2001,2026,2,6,,8100,0,갱신,26.02~28.02,8400.0,,사용,,
연립다세대_전월세,202602,11500,방화동,356,레드빌,78.77,4,2011,2026,2,25,,14400,20,갱신,26.02~28.02,13500.0,20.0,,,
연립다세대_전월세,202602,11500,등촌동,533-18,거산하이빌(533-18),19.04,4,2014,2026,2,28,,3000,100,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,506-6,살렘하우스,13.06,5,2014,2026,2,20,,1000,36,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,염창동,184-8,어반카운티,23.76,7,2022,2026,2,24,,5000,110,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,방화동,246-26,대양캐슬,28.39,6,2016,2026,2,26,,18000,20,신규,26.05~28.05,,,,,
연립다세대_전월세,202602,11500,화곡동,1048-46,인터빙하우스,19.62,2,2017,2026,2,12,,1000,53,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,화곡동,1084-50,뉴파인빌(1084-50),49.52,2,2011,2026,2,28,,20700,10,신규,26.05~28.05,,,,,
연립다세대_전월세,202602,11500,내발산동,710-13,우진맨션,42.1,4,2000,2026,2,1,,12000,45,신규,26.02~27.05,,,,,
연립다세대_전월세,202602,11500,공항동,8-5,헬리그라프마곡에디션,29.08,5,2024,2026,2,6,,20000,45,갱신,26.05~28.05,1000.0,130.0,,,
연립다세대_전월세,202602,11500,마곡동,327-53,신안(327-53),69.93,3,1984,2026,2,7,,3000,70,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,871-78,(871-78),53.46,4,2024,2026,2,25,,5500,101,신규,26.05~28.05,,,,,
연립다세대_전월세,202602,11500,화곡동,166-18,아이유하임,53.95,4,2022,2026,2,11,,20808,17,신규,26.03~28.04,,,,,
연립다세대_전월세,202602,11500,등촌동,514-61,나이스하우스(514-61),12.32,3,2013,2026,2,6,,1000,32,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,화곡동,24-148,동원에이스뷰,26.98,6,2020,2026,2,2,,17730,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,방화동,328-2,체리빌라,49.55,3,2002,2026,2,20,,9000,28,신규,26.05~28.05,,,,,
연립다세대_전월세,202602,11500,화곡동,1066-12,성우주택,39.02,2,2001,2026,2,3,,2000,75,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,886-8,슈프림더하이움,47.13,2,2023,2026,2,10,,17215,14,신규,26.02~28.04,,,,,
연립다세대_전월세,202602,11500,공항동,53-96,웰스바움,29.81,5,2021,2026,2,6,,19440,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,354-41,남성아트빌(354-41),40.26,6,2014,2026,2,28,,3000,100,갱신,26.02~28.02,3000.0,100.0,,,
연립다세대_전월세,202602,11500,등촌동,647-59,동영타운A동,60.96,2,1994,2026,2,22,,2000,100,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,내발산동,670-29,더제니스타운,38.62,4,2016,2026,2,7,,21000,20,갱신,26.03~28.03,21000.0,20.0,사용,,
연립다세대_전월세,202602,11500,화곡동,888-9,한경렉스플레이스,26.18,2,2023,2026,2,19,,3000,100,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,1042-2,폴라비엘,44.27,4,2017,2026,2,27,,20000,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,가양동,146-48,(146-48),57.78,3,2002,2026,2,6,,4000,100,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,365-211,이가채(365-211),29.91,1,2015,2026,2,13,,16000,10,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,869-25,풍성하이츠빌라,62.53,1,1998,2026,2,3,,5000,75,갱신,26.02~27.02,15000.0,,,,
연립다세대_전월세,202602,11500,내발산동,709-30,글로리아빌라트,40.89,4,1994,2026,2,27,,11000,8,갱신,26.02~28.02,11000.0,8.0,,,
연립다세대_전월세,202602,11500,화곡동,105-384,그린힐(105-384),61.68,3,2010,2026,2,27,,20000,33,갱신,26.03~28.03,20000.0,30.0,,,
연립다세대_전월세,202602,11500,공항동,53-93,수명그린빌에이동비동,36.54,4,2016,2026,2,10,,5000,120,신규,26.02~29.02,,,,,
연립다세대_전월세,202602,11500,화곡동,917-2,하이트맨션(917-2),41.7,2,2001,2026,2,28,,1000,90,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,공항동,684-1,참터골든빌,33.8,6,2017,2026,2,4,,5000,100,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,56-393,주신아트빌A동,39.07,3,2003,2026,2,27,,1000,70,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,1085-9,와이앤비,27.36,2,2015,2026,2,13,,17890,5,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,공항동,22-52,아이디움,39.27,6,2016,2026,2,11,,22800,4,갱신,26.04~28.04,22800.0,,사용,,
연립다세대_전월세,202602,11500,공항동,672-11,솔빌딩,15.78,4,2013,2026,2,27,,100,47,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,공항동,715,태광빌라,53.49,5,2003,2026,2,20,,0,50,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,화곡동,153-4,루미힐스,29.82,2,2021,2026,2,5,,1000,80,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,화곡동,1016-2,(1016-2),37.32,2,2002,2026,2,26,,500,55,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,105-534,(105-534),76.46,2,1986,2026,2,6,,27500,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,372-90,서안파크뷰,18.91,5,2024,2026,2,27,,1500,117,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,1055-5,천지빌,26.91,2,2001,2026,2,26,,1000,48,신규,26.04~28.03,,,,,
연립다세대_전월세,202602,11500,방화동,247-158,동원아트빌,29.88,3,2020,2026,2,23,,12000,60,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,351-13,더에스에스타운,25.04,2,2022,2026,2,27,,500,110,신규,26.04~27.04,,,,,
연립다세대_전월세,202602,11500,방화동,612-202,하이골드빌,19.84,7,2019,2026,2,20,,12000,12,갱신,26.04~28.04,12000.0,10.0,,,
연립다세대_전월세,202602,11500,화곡동,156-21,혜성펠리스(156-21),38.69,4,2013,2026,2,26,,3000,100,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,504-204,예성그린캐슬2차,49.42,1,2003,2026,2,21,,2000,85,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,403-9,서현,12.96,4,2011,2026,2,26,,500,40,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,380-12,신영베르디움,49.47,3,2017,2026,2,23,,50,100,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,화곡동,351-20,대성아트빌,27.68,5,2018,2026,2,25,,50,90,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,화곡동,882-21,상아아트빌(882-21),40.98,5,2010,2026,2,7,,3000,60,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,등촌동,531-3,민하우스,19.95,3,2016,2026,2,23,,1000,52,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,화곡동,978-7,그린리치빌,53.01,4,2002,2026,2,12,,3000,80,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,820-9,한신위너스,41.3,2,2016,2026,2,21,,3000,110,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,등촌동,524-28,올리브빌(524-28),14.85,2,2013,2026,2,7,,7500,3,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,518-28,정우빌라,64.92,2,1994,2026,2,3,,21000,1,갱신,26.02~28.02,21000.0,,,,
연립다세대_전월세,202602,11500,방화동,589-24,마곡M타운-101,26.79,4,2019,2026,2,20,,3000,80,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,98-102,삼성위브빌,29.78,4,2012,2026,2,13,,13900,22,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,421-25,(421-25),34.57,1,1986,2026,2,20,,700,60,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,381-14,우진타운다동(381-14),40.5,2,2008,2026,2,28,,3000,63,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,1041-27,삼광아트빌나동,59.32,4,2002,2026,2,28,,16000,20,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,1071-12,호성파크맨션3차,51.62,4,1996,2026,2,13,,13800,30,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,565-5,TheZAHA,20.665,11,2021,2026,2,9,,19620,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,50-120,거성,34.29,3,1986,2026,2,14,,9000,0,신규,26.04~28.05,,,,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,4,2013,2026,2,25,,2000,43,신규,26.03~27.02,,,,,
연립다세대_전월세,202602,11500,화곡동,349-1,삼성골든빌,38.23,4,2014,2026,2,28,,2000,120,갱신,26.03~28.03,2000.0,80.0,,,
연립다세대_전월세,202602,11500,화곡동,385-20,청원그린빌라,53.67,1,1997,2026,2,28,,4000,70,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,515-25,래안빌,20.93,2,2019,2026,2,27,,19700,0,갱신,26.03~28.03,19000.0,,,,
연립다세대_전월세,202602,11500,등촌동,651-12,더플레이스등촌,40.93,7,2022,2026,2,5,,39800,0,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,55-12,쉐라톤빌리지(55-12),40.95,4,1993,2026,2,21,,3000,33,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,338-38,삼화빌라,35.82,-1,1986,2026,2,25,,1000,40,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,등촌동,654-87,(654-87),31.42,-1,1986,2026,2,13,,1500,35,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,화곡동,98-168,동광빌라5차,46.02,1,1996,2026,2,28,,11000,0,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,346-18,리치하우스(346-18),43.79,6,2017,2026,2,27,,3500,110,신규,26.03~29.03,,,,,
연립다세대_전월세,202602,11500,화곡동,341-50,청송평화헬스하우스(341-5),53.5,4,2018,2026,2,3,,7000,105,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,방화동,247-19,보타닉타워,29.65,6,2016,2026,2,7,,17260,4,갱신,26.02~28.02,17380.0,,사용,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,13.33,4,2013,2026,2,27,,1000,47,신규,26.03~27.02,,,,,
연립다세대_전월세,202602,11500,화곡동,879-1,(879-1),56.96,2,2010,2026,2,3,,1000,53,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,등촌동,721,동양하우징,23.38,9,2019,2026,2,13,,24400,0,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,5,2013,2026,2,28,,1000,47,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,방화동,246-14,(246-14),27.01,5,2018,2026,2,27,,1000,89,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,등촌동,530-14,우림,53.13,4,2002,2026,2,6,,18000,0,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,공항동,55-96,가화(55-96),18.28,3,2010,2026,2,11,,500,42,신규,26.02~28.02,,,,,
연립다세대_전월세,202602,11500,내발산동,647,DH647,45.76,10,2023,2026,2,23,,37000,200,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,29-6,태성아트빌,41.92,2,2002,2026,2,25,,12000,20,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,362-32,서연블루힐비,29.93,3,2016,2026,2,26,,16370,0,갱신,26.04~28.04,15870.0,,사용,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,4,2013,2026,2,28,,1000,47,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,5,2013,2026,2,24,,1000,47,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,5,2013,2026,2,24,,1000,47,신규,26.03~27.02,,,,,
연립다세대_전월세,202602,11500,화곡동,909-11,에덴그린,48.98,2,2002,2026,2,28,,2000,80,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,공항동,33-7,그레이스캐슬,29.14,2,2019,2026,2,9,,3000,90,신규,26.03~27.03,,,,,
연립다세대_전월세,202602,11500,내발산동,708,드림하우스,12.4,4,2013,2026,2,24,,1000,47,신규,26.02~27.02,,,,,
연립다세대_전월세,202602,11500,화곡동,56-66,한양맨숀(56-66),27.57,5,2000,2026,2,25,,8100,20,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,공항동,14-35,현대맨션,47.94,-1,1995,2026,2,9,,9000,0,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,886-8,슈프림더하이움,47.13,2,2023,2026,2,10,,14755,12,신규,26.02~28.04,,,,,
연립다세대_전월세,202602,11500,공항동,61-134,에클레시아빌,29.96,3,2026,2026,2,26,,3500,103,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,내발산동,720-22,예원원룸,41.34,4,2003,2026,2,21,,700,65,신규,26.03~28.03,,,,,
연립다세대_전월세,202602,11500,화곡동,393-22,프라임주택(393-22),18.27,4,2014,2026,2,25,,10000,14,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,105-54,현대힐타운,61.88,1,2000,2026,2,20,,2000,80,신규,26.04~28.04,,,,,
연립다세대_전월세,202602,11500,화곡동,372-93,강성그린빌라,33.9,4,1994,2026,2,19,,9800,0,갱신,26.02~28.02,10000.0,,,,
연립다세대_전월세,202602,11500,등촌동,637-27,유원더블레스,14.64,12,2020,2026,2,25,,21750,9,갱신,26.04~27.04,20850.0,9.0,,,
연립다세대_전월세,202602,11500,화곡동,867-51,중앙빌라,31.47,3,2003,2026,2,26,,2000,65,신규,26.03~28.03,,,,,
