deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
아파트_매매,202603,11500,방화동,814,방화5,33.18,10,1994,2026,3,30,35000,,,,,,,,중개거래,
아파트_매매,202603,11500,염창동,281-22,염창1차한화꿈에그린,67.43,16,2005,2026,3,7,148500,,,,,,,,중개거래,
아파트_매매,202603,11500,내발산동,659-1,강서월드메르디앙,84.8945,4,2006,2026,3,2,99500,,,,,,,,중개거래,
아파트_매매,202603,11500,염창동,255,무학,114.92,3,1999,2026,3,30,118000,,,,,,,,중개거래,
아파트_매매,202603,11500,화곡동,1165,강서힐스테이트,128.81,14,2015,2026,3,31,170000,,,,,,,,중개거래,
아파트_매매,202603,11500,화곡동,351-89,중앙화곡하이츠,56.88,8,1988,2026,3,27,43000,,,,,,,,중개거래,
아파트_매매,202603,11500,염창동,292,동아,59.97,17,1998,2026,3,26,96500,,,,,,,,중개거래,
아파트_매매,202603,11500,가양동,1490,가양도시개발9-2단지,49.5,5,1993,2026,3,17,55000,,,,,,,,중개거래,
아파트_매매,202603,11500,가양동,1496,일신건영휴먼빌,59.984,4,2004,2026,3,30,91300,,,,,,,,중개거래,
아파트_매매,202603,11500,방화동,585-4,삼미,76,4,1982,2026,3,28,72000,,,,,,,,중개거래,
아파트_매매,202603,11500,방화동,814,방화5,33.18,10,1994,2026,3,30,35000,,,,,,,,중개거래,O
아파트_매매,202603,11500,가양동,1461,가양2단지(성지),39.6,1,1992,2026,3,30,70000,,,,,,,,중개거래,
아파트_매매,202603,11500,등촌동,687,"등촌1,2단지주공아파트",41.85,2,1994,2026,3,12,63000,,,,,,,,중개거래,
아파트_매매,202603,11500,내발산동,657,우장산힐스테이트,101.87,3,2005,2026,3,15,163000,,,,,,,,중개거래,
아파트_매매,202603,11500,방화동,585-4,삼미,58.29,2,1982,2026,3,30,64000,,,,,,,,중개거래,
아파트_매매,202603,11500,내발산동,672-15,원다벨라빌,84.985,4,2001,2026,3,28,65400,,,,,,,,중개거래,
아파트_매매,202603,11500,등촌동,688,주공3,37.67,5,1995,2026,3,30,69800,,,,,,,,중개거래,
아파트_매매,202603,11500,화곡동,1165,강서힐스테이트,84.99,12,2015,2026,3,20,163000,,,,,,,,중개거래,
아파트_매매,202603,11500,공항동,1398,더트루엘마곡HQ,48.3293,12,2024,2026,3,31,64400,,,,,,,,직거래,
