deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
아파트_매매,202604,11500,화곡동,980-21,강서아이파크,83.077,15,2005,2026,4,30,79000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,796,신동아,130.98,13,1995,2026,4,30,86500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,343-49,혜성오피아파트,22.49,10,2018,2026,4,6,20500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,1165,강서힐스테이트,84.99,11,2015,2026,4,23,139000,,,,,,,,직거래,O
아파트_매매,202604,11500,방화동,814,방화5,33.18,13,1994,2026,4,29,47000,,,,,,,,중개거래,
아파트_매매,202604,11500,마곡동,429,벽산,84.97,4,1999,2026,4,14,90000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,712,코오롱오투빌2,84.96,6,2002,2026,4,27,83800,,,,,,,,중개거래,
아파트_매매,202604,11500,염창동,264-27,삼성한아름,84.89,4,1993,2026,4,11,84500,,,,,,,,중개거래,
아파트_매매,202604,11500,내발산동,749,마곡수명산파크5단지,59.87,5,2008,2026,4,27,100000,,,,,,,,직거래,
아파트_매매,202604,11500,방화동,793,현대,84.99,2,1993,2026,4,6,85000,,,,,,,,중개거래,
아파트_매매,202604,11500,가양동,448-1,가양강나루현대,59.76,1,1999,2026,4,30,67000,,,,,,,,직거래,
아파트_매매,202604,11500,화곡동,1165,강서힐스테이트,84.99,11,2015,2026,4,24,139000,,,,,,,,직거래,O
아파트_매매,202604,11500,화곡동,980-21,강서아이파크,83.077,15,2005,2026,4,30,79000,,,,,,,,중개거래,O
아파트_매매,202604,11500,화곡동,926-3,메종드로제,33.4,8,2019,2026,4,22,23000,,,,,,,,중개거래,
아파트_매매,202604,11500,가양동,1461,가양2단지(성지),34.69,1,1992,2026,4,27,59000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,831,방화4단지,134.61,5,1994,2026,4,30,96000,,,,,,,,직거래,
아파트_매매,202604,11500,화곡동,1155,탑건진선미,69.33,4,2005,2026,4,30,60500,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,793,현대,84.99,3,1993,2026,4,29,86000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,701,"진로,미주아파트",84.96,11,1994,2026,4,16,99500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,1039-3,금호,107.4,5,2002,2026,4,29,53000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,634-2,한사랑2삼성,84.96,17,1999,2026,4,29,109500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,351-89,중앙화곡하이츠,56.88,10,1988,2026,4,26,46500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,1145,우장산롯데캐슬,177.86,15,2003,2026,4,15,90100,,,,,,,,직거래,
아파트_매매,202604,11500,등촌동,702,주공10,37.67,3,1995,2026,4,30,67500,,,,,,,,중개거래,
아파트_매매,202604,11500,공항동,1398,더트루엘마곡HQ,48.3293,8,2024,2026,4,28,67500,,,,,,,,직거래,
아파트_매매,202604,11500,등촌동,637-26,다울,83.286,8,2002,2026,4,25,72000,,,,,,,,중개거래,
아파트_매매,202604,11500,마곡동,743-4,마곡엠밸리7단지,84.55,9,2014,2026,4,27,196000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,1009-8,타워빌,81.71,3,2001,2026,4,21,74000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,914-3,일성스카이빌,59.96,8,2001,2026,4,22,38000,,,,,,,,직거래,
아파트_매매,202604,11500,염창동,264-27,삼성한아름,84.89,2,1993,2026,4,25,82500,,,,,,,,중개거래,
아파트_매매,202604,11500,염창동,282,삼정그린코아,126.035,7,2001,2026,4,26,103000,,,,,,,,직거래,
아파트_매매,202604,11500,방화동,860,마곡서광(치현마을),59.67,9,1998,2026,4,27,57000,,,,,,,,중개거래,
아파트_매매,202604,11500,염창동,305,염창1차보람더하임,116.92,9,2008,2026,4,16,139500,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,875,방화동동부센트레빌(875번지),84.97,7,2003,2026,4,23,94600,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,817,동성,64.65,10,1993,2026,4,25,77000,,,,,,,,중개거래,
아파트_매매,202604,11500,가양동,1461,가양2단지(성지),49.56,13,1992,2026,4,20,102500,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,817,동성,64.65,9,1993,2026,4,25,69000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,343-71,벨라팰리스,24.71,10,2015,2026,4,3,20000,,,,,,,,직거래,
아파트_매매,202604,11500,등촌동,723,등촌파밀리에더클래식201동,49.78,7,2020,2026,4,30,73000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,839,방화그린,33.6,14,1993,2026,4,29,28000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,351-89,중앙화곡하이츠,56.88,11,1988,2026,4,21,42000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,796,신동아,84.81,8,1995,2026,4,11,78500,,,,,,,,중개거래,
아파트_매매,202604,11500,마곡동,740,마곡엠밸리5단지,114.86,7,2014,2026,4,24,153000,,,,,,,,직거래,
아파트_매매,202604,11500,등촌동,715,등촌동아이파크,84.9958,14,2004,2026,4,14,117000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,286-1,한미(286-1),40.02,1,1988,2026,4,28,29000,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,819,개화,101.86,6,1994,2026,4,25,90500,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,24-539,갤러리빌,13.98,7,2011,2026,4,17,10000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,628-15,등촌라인(조합),59.91,13,1997,2026,4,11,90000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,694,대림,89.975,6,1995,2026,4,28,124000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,676,태진아름,84.81,5,1995,2026,4,22,95000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,899-13,드림시드아파트1차,44.53,12,2017,2026,4,26,34000,,,,,,,,중개거래,
아파트_매매,202604,11500,화곡동,24-539,갤러리빌,12.54,7,2011,2026,4,17,10000,,,,,,,,중개거래,
아파트_매매,202604,11500,등촌동,688,주공3,58.14,6,1995,2026,4,22,62000,,,,,,,,직거래,
아파트_매매,202604,11500,가양동,1461,가양2단지(성지),34.44,14,1992,2026,4,29,67100,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,852,마곡중앙하이츠아파트,59.34,14,1994,2026,4,24,64800,,,,,,,,중개거래,
아파트_매매,202604,11500,염창동,246-23,극동,59.9,2,2000,2026,4,30,67000,,,,,,,,직거래,
아파트_매매,202604,11500,방화동,862,한숲마을대림,59.69,10,1999,2026,4,24,60900,,,,,,,,중개거래,
아파트_매매,202604,11500,가양동,1461,가양2단지(성지),39.6,10,1992,2026,4,27,79700,,,,,,,,중개거래,
아파트_매매,202604,11500,방화동,819,개화,101.86,9,1994,2026,4,28,90000,,,,,,,,중개거래,
