deal_type,deal_ym,lawd_cd,umd_name,jibun,building_name,area_m2,floor,build_year,deal_year,deal_month,deal_day,deal_amount,deposit,monthly_rent,contract_type,contract_term,pre_deposit,pre_monthly_rent,use_rr_right,dealing_gbn,cdeal_type
연립다세대_매매,202607,11500,방화동,249-29,그린나래타운,46.08,2,2012,2026,7,17,29500,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,480-14,HIGH-END480,29.84,2,2023,2026,7,17,35000,,,,,,,,직거래,
연립다세대_매매,202607,11500,등촌동,532-3,제니스알앤시빌,27.57,3,2016,2026,7,12,28200,,,,,,,,직거래,
연립다세대_매매,202607,11500,화곡동,95-151,미주,42.16,2,1986,2026,7,10,15000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,1061-16,경원그린빌가동,33.99,-1,2001,2026,7,22,11500,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,154-3,신흥레미안빌,44.72,5,2002,2026,7,10,16000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,방화동,592-6,은하수빌,45.9,3,2001,2026,7,20,25000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,등촌동,643-90,등촌센트라노,37.28,3,2024,2026,7,21,59000,,,,,,,,직거래,
연립다세대_매매,202607,11500,화곡동,1038-4,폴라비엘(1038-4),25.77,4,2018,2026,7,7,22700,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,105-251,다온숲,29.99,6,2021,2026,7,2,30000,,,,,,,,직거래,
연립다세대_매매,202607,11500,화곡동,391-17,인터시티A동(391-17),58.68,4,2001,2026,7,11,25500,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,1131-16,제선주택9차,45.78,4,2008,2026,7,17,20000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,393-7,에이스타운,56.06,2,2007,2026,7,21,26500,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,1100-3,휴&유빌,36.5,2,2020,2026,7,21,26100,,,,,,,,직거래,
연립다세대_매매,202607,11500,등촌동,572-9,라온제나(572-9),48.34,6,2017,2026,7,17,33000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,1045-23,소담밸리,29.14,4,2012,2026,7,6,40000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,1128-16,"한신아이르빌13차A동,B동",62.86,5,2009,2026,7,17,26000,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,376-21,씨티하우스(376-21),46.01,3,2011,2026,7,1,22500,,,,,,,,중개거래,
연립다세대_매매,202607,11500,화곡동,102-298,공간지음102,29.52,4,2021,2026,7,20,25000,,,,,,,,직거래,
