region_name,deal_ym,deal_type,building_name,umd_name,jibun,area_m2,deal_amount,deposit,monthly_rent,floor,deal_day,build_year
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,1000,110,14,13,2020
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,1000,110,14,13,2020
마곡동,202607,오피스텔_전월세,힐스테이트 에코 마곡역,마곡동,773,19.87,,1000,78,14,8,2017
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,3000,68,11,16,2017
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,39.97,,1000,150,3,10,2017
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,24.07,,1000,65,7,16,2015
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,16200,15,10,16,2017
등촌동,202607,오피스텔_전월세,등촌동 Y HAUS 오피스텔,등촌동,633-24,28.3,,3000,105,9,10,2020
방화동,202607,오피스텔_전월세,방화샤르망1오피스텔,방화동,830-3,16.29,,300,37,4,2,2003
화곡동,202607,오피스텔_전월세,연우넥스트파크뷰,화곡동,1110,15.29,,12000,13,3,10,2019
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,21.89,,1000,81,5,15,2017
방화동,202607,오피스텔_전월세,공항오피스텔,방화동,620-175,29.3,,8180,22,5,15,2001
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔 엘동,마곡동,758-1,21.87,,1000,66,5,16,2017
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,17.36,,11900,0,3,16,
화곡동,202607,오피스텔_전월세,(918-2),화곡동,918-2,60,,15000,20,5,6,1998
등촌동,202607,오피스텔_전월세,경동미르웰 양천향교 101동,등촌동,820,14.33,,3000,55,10,4,2017
염창동,202607,오피스텔_전월세,아네스트염창,염창동,310,20.86,,13000,16,3,14,2019
방화동,202607,오피스텔_전월세,제이엘카운티,방화동,612-71,73.23,,25500,0,3,16,2015
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,29.14,,16000,18,9,15,2015
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,26.68,,20475,14,7,15,2019
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,26.68,,20400,15,8,15,2019
방화동,202607,오피스텔_전월세,오피앙,방화동,830,22.5,,6300,0,11,16,2001
가양동,202607,오피스텔_전월세,휴먼빌,가양동,1479-9,25.64,,2000,48,13,3,2004
방화동,202607,오피스텔_전월세,방화샤르망1오피스텔,방화동,830-3,16.29,,300,37,4,2,2003
가양동,202607,오피스텔_전월세,가양글로벌퍼스트,가양동,448-11,28.12,,2000,115,14,4,2018
등촌동,202607,오피스텔_전월세,등촌동두산위브센티움,등촌동,631,22.6,,1000,65,11,2,2004
마곡동,202607,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,1000,75,8,7,2016
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,20.82,,1000,74,4,11,
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,30.84,,1000,85,11,14,2017
화곡동,202607,오피스텔_전월세,르미엘,화곡동,987-3,17.59,,17850,0,7,16,2022
염창동,202607,오피스텔_전월세,서경팰리스,염창동,267-10,28.69,,2000,110,4,11,2018
마곡동,202607,오피스텔_전월세,벨리오,마곡동,784-8,20.58,,1000,68,5,14,2015
등촌동,202607,오피스텔_전월세,신도그랑피아오피스텔,등촌동,642-2,54.4,,20700,10,6,13,2003
화곡동,202607,오피스텔_전월세,SJ라벨라,화곡동,1111,28.1,,22500,0,9,15,2020
화곡동,202607,오피스텔_전월세,(1051-4),화곡동,1051-4,19.76,,500,52,4,8,2002
화곡동,202607,오피스텔_전월세,포유,화곡동,1111-4,17.92,,1000,65,11,7,2018
등촌동,202607,오피스텔_전월세,등촌 미르웰 한올림 3차,등촌동,656-58,14.41,,1000,65,14,9,2018
화곡동,202607,오피스텔_전월세,강서2차 크라운팰리스,화곡동,1070-11,28.17,,26000,5,7,11,2020
마곡동,202607,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,13300,7,3,6,2016
마곡동,202607,오피스텔_전월세,힐스테이트에코동익,마곡동,773-3,24.57,,1000,85,14,8,2017
화곡동,202607,오피스텔_전월세,(24-103),화곡동,24-103,25.51,,6000,35,4,8,2002
등촌동,202607,오피스텔_전월세,현대프린스텔,등촌동,628-13,22.78,,1000,50,6,15,1999
공항동,202607,오피스텔_전월세,에테르힐스,공항동,45-11,28.81,,23000,0,3,14,2023
등촌동,202607,오피스텔_전월세,경동미르웰양천향교2차,등촌동,685,29.68,,3000,110,4,15,2020
화곡동,202607,오피스텔_전월세,강서구청 파크뷰 에버,화곡동,987-1,15.43,,500,63,7,15,2020
마곡동,202607,오피스텔_전월세,벨리오,마곡동,784-8,20.57,,12600,13,5,15,2015
마곡동,202607,오피스텔_전월세,마곡경동미르웰,마곡동,784,17.96,,12150,12,4,14,2015
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,3000,64,4,14,2017
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔 엘동,마곡동,758-1,21.87,,1000,75,6,9,2017
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,17.36,,13000,0,7,8,
방화동,202607,오피스텔_전월세,에어뷰21-1오피스텔,방화동,829-5,26.91,,500,50,5,15,1999
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,3000,116,5,13,2020
마곡동,202607,오피스텔_전월세,마곡아이파크,마곡동,795-2,24.9,,1000,78,4,3,2016
등촌동,202607,오피스텔_전월세,아이디움,등촌동,656-36,17.31,,1000,55,9,11,2014
가양동,202607,오피스텔_전월세,이스타빌1차,가양동,1480-5,27,,1000,60,13,2,2002
마곡동,202607,오피스텔_전월세,마곡경동미르웰,마곡동,784,17.96,,500,70,5,7,2015
마곡동,202607,오피스텔_전월세,마곡경동미르웰,마곡동,784,17.96,,12900,0,3,8,2015
등촌동,202607,오피스텔_전월세,등촌동 Y HAUS 오피스텔,등촌동,633-24,28.3,,25000,0,15,14,2020
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,21.5,,15300,18,8,13,2017
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,20.84,,1000,75,11,8,2017
가양동,202607,오피스텔_전월세,가양글로벌퍼스트,가양동,448-11,28.12,,24000,15,13,4,2018
화곡동,202607,오피스텔_전월세,웨인씨티,화곡동,24-42,29.28,,12000,60,11,8,2021
마곡동,202607,오피스텔_전월세,마곡대명투웨니퍼스트,마곡동,784-6,17.96,,12400,0,4,8,2015
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,1000,80,11,14,2017
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,39.97,,34000,0,11,14,2017
등촌동,202607,오피스텔_전월세,경동미르웰양천향교2차,등촌동,685,29.68,,3000,120,9,13,2020
마곡동,202607,오피스텔_전월세,마곡오드카운티1차,마곡동,784-11,16.57,,500,64,10,8,2016
화곡동,202607,오피스텔_전월세,양지샤인빌,화곡동,915-19,24.18,,5500,58,4,14,2019
화곡동,202607,오피스텔_전월세,엔에스타운,화곡동,368-32,49.27,,29900,7,6,11,2019
마곡동,202607,오피스텔_전월세,마곡역센트럴푸르지오시티,마곡동,773-1,23.87,,16300,17,8,14,2016
마곡동,202607,오피스텔_전월세,스카이오피스텔,마곡동,784-3,17.52,,9450,17,8,14,2016
마곡동,202607,오피스텔_전월세,마곡경동미르웰,마곡동,784,17.96,,1000,62,7,7,2015
마곡동,202607,오피스텔_전월세,힐스테이트에코동익,마곡동,773-3,24.57,,1000,83,10,14,2017
방화동,202607,오피스텔_전월세,에어뷰21-1오피스텔,방화동,829-5,26.91,,6900,10,3,14,1999
마곡동,202607,오피스텔_전월세,힐스테이트에코마곡,마곡동,797-14,23.75,,1000,80,5,14,2016
화곡동,202607,오피스텔_전월세,원타워 5차 오피스텔,화곡동,987-7,17.04,,15900,0,9,14,2021
화곡동,202607,오피스텔_전월세,(1063-17),화곡동,1063-17,34.29,,500,50,7,13,2002
공항동,202607,오피스텔_전월세,크라운타워,공항동,72-20,28.34,,4000,77,6,14,2024
등촌동,202607,오피스텔_전월세,경동미르웰한올림,등촌동,656,16.19,,12000,14,4,13,2016
화곡동,202607,오피스텔_전월세,화곡투웨니퍼스트,화곡동,105-378,28.45,,1000,98,5,8,2018
등촌동,202607,오피스텔_전월세,등촌동두산위브센티움,등촌동,631,22.6,,10000,30,7,11,2004
화곡동,202607,오피스텔_전월세,투웨니퍼스트 강서마곡,화곡동,1097-9,15.76,,3000,71,12,14,2021
등촌동,202607,오피스텔_전월세,현대프린스텔,등촌동,628-13,28.78,,9450,15,6,14,1999
화곡동,202607,오피스텔_전월세,(1063-17),화곡동,1063-17,24.08,,1000,48,3,2,2002
방화동,202607,오피스텔_전월세,(620-214),방화동,620-214,27.37,,1000,55,7,11,2011
마곡동,202607,오피스텔_전월세,마곡나루역캐슬파크,마곡동,760-2,23.39,,1000,90,5,1,2016
등촌동,202607,오피스텔_전월세,아줄리움,등촌동,637-16,33,,27000,0,7,14,2019
화곡동,202607,오피스텔_전월세,화곡SJ라벨라,화곡동,921-6,42.13,,3000,130,8,14,2022
등촌동,202607,오피스텔_전월세,디앤써밋 모이다,등촌동,648-10,24.57,,29000,0,6,10,
등촌동,202607,오피스텔_전월세,등촌동 Y HAUS 오피스텔,등촌동,633-24,28.61,,10000,54,14,10,2020
화곡동,202607,오피스텔_전월세,화곡투웨니퍼스트,화곡동,105-378,28.45,,1000,97,9,9,2018
화곡동,202607,오피스텔_전월세,포유,화곡동,1111-4,17.92,,1000,66,10,14,2018
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.2,,1000,85,9,11,2017
염창동,202607,오피스텔_전월세,대명투웨니퍼스트,염창동,283-3,15.04,,13200,7,5,14,2012
염창동,202607,오피스텔_전월세,동남빌리지,염창동,263-20,28.4,,3000,63,2,11,2019
공항동,202607,오피스텔_전월세,이스카이오피스텔,공항동,49-1,28.11,,1000,60,7,13,2011
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,24150,20,9,10,2020
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,19.96,,1000,76,13,13,2017
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.2,,1000,85,13,12,2017
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,1000,120,8,10,2020
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,29.48,,1000,90,13,13,2017
등촌동,202607,오피스텔_전월세,대룡드림타워-1,등촌동,684-3,46.68,,20900,20,9,8,2004
마곡동,202607,오피스텔_전월세,우성르보아투,마곡동,739-2,20.24,,1000,57,10,10,2015
등촌동,202607,오피스텔_전월세,등촌2차 크라운팰리스,등촌동,641-2,37.3,,32490,0,6,10,2020
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,35.22,,2000,140,6,11,2019
등촌동,202607,오피스텔_전월세,아이디움,등촌동,656-36,17.31,,1000,50,11,10,2014
등촌동,202607,오피스텔_전월세,트라비하우스,등촌동,628-18,50.16,,27000,8,2,11,2005
등촌동,202607,오피스텔_전월세,ACE A-ZONE,등촌동,639-8,82.43,,43500,0,4,11,2005
등촌동,202607,오피스텔_전월세,라빌라스,등촌동,637-19,29.91,,21000,20,9,7,2018
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,24.07,,4000,45,13,13,2015
화곡동,202607,오피스텔_전월세,SJ라벨라,화곡동,1111,22.35,,18585,0,13,13,2020
마곡동,202607,오피스텔_전월세,마곡경동미르웰,마곡동,784,17.96,,3200,57,6,13,2015
염창동,202607,오피스텔_전월세,동남빌리지,염창동,263-20,27.55,,3000,68,6,11,2019
화곡동,202607,오피스텔_전월세,화곡SJ라벨라,화곡동,921-6,74.92,,5500,137,1,13,2022
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,21.89,,15200,17,14,9,2017
화곡동,202607,오피스텔_전월세,삼성다빈치,화곡동,917-14,18.9,,1000,47,2,10,2015
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,35.22,,3000,130,14,13,2019
마곡동,202607,오피스텔_전월세,엠코지니어스타,마곡동,776-4,23.84,,15600,14,9,10,2015
화곡동,202607,오피스텔_전월세,모닝스카이오피스텔,화곡동,1052-14,29.6,,1000,79,3,5,2002
등촌동,202607,오피스텔_전월세,베르데하우스,등촌동,641-8,27.9,,25800,0,9,8,2021
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,21.25,,1000,80,9,13,2019
화곡동,202607,오피스텔_전월세,원타워 5차 오피스텔,화곡동,987-7,17.04,,2000,70,18,10,2021
화곡동,202607,오피스텔_전월세,거마지엠밸리,화곡동,1116-5,13.89,,2000,62,18,11,2020
마곡동,202607,오피스텔_전월세,벨리오,마곡동,784-8,20.58,,500,70,7,13,2015
화곡동,202607,오피스텔_전월세,제이투 리더스뷰,화곡동,935-2,29.63,,1000,110,9,6,2022
화곡동,202607,오피스텔_전월세,SJ라벨라,화곡동,1111,27.59,,20500,0,3,10,2020
마곡동,202607,오피스텔_전월세,마곡오드카운티1차,마곡동,784-11,16.57,,500,67,8,13,2016
방화동,202607,오피스텔_전월세,오피앙2,방화동,829,22.5,,500,45,7,11,2002
화곡동,202607,오피스텔_전월세,미리내오피스텔,화곡동,937-12,19.69,,12000,15,7,7,2019
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,24300,0,3,11,2020
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,30.84,,20076,0,3,11,2017
마곡동,202607,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,13300,0,10,11,2016
마곡동,202607,오피스텔_전월세,마곡헤리움2차,마곡동,758-3,22.51,,1000,75,5,10,2016
등촌동,202607,오피스텔_전월세,강변샤르망3단지,등촌동,628-17,58.36,,35100,0,10,11,2005
가양동,202607,오피스텔_전월세,휴먼빌,가양동,1479-9,30.8,,9500,0,8,8,2004
마곡동,202607,오피스텔_전월세,마곡나루역캐슬파크,마곡동,760-2,26.22,,18000,22,10,11,2016
공항동,202607,오피스텔_전월세,대룡드림타워-Ⅱ,공항동,45-19,27.34,,7000,0,3,8,2005
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,20.84,,1000,75,6,8,2017
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,24.07,,13700,15,14,7,2015
등촌동,202607,오피스텔_전월세,경동미르웰한올림,등촌동,656,16.19,,1000,70,10,10,2016
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔 엘동,마곡동,758-1,21.87,,14100,0,4,13,2017
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,21.89,,15200,0,10,11,2017
마곡동,202607,오피스텔_전월세,엠코지니어스타,마곡동,776-4,23.84,,15600,15,10,10,2015
마곡동,202607,오피스텔_전월세,마곡나루역캐슬파크,마곡동,760-2,23.39,,17700,20,5,8,2016
화곡동,202607,오피스텔_전월세,Urban edge(어반엣지),화곡동,24-169,28.76,,1000,115,7,10,2026
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔,마곡동,758-4,21.87,,1000,75,7,7,2016
염창동,202607,오피스텔_전월세,염창이레타워벨리스,염창동,264-16,27.27,,28000,0,9,11,2022
공항동,202607,오피스텔_전월세,에테르힐스,공항동,45-11,28.81,,23000,0,8,7,2023
등촌동,202607,오피스텔_전월세,등촌동두산위브센티움,등촌동,631,22.6,,1000,70,6,11,2004
등촌동,202607,오피스텔_전월세,등촌동노블리움오피스텔,등촌동,628,48.53,,1000,95,5,10,2005
마곡동,202607,오피스텔_전월세,마곡헤리움2차,마곡동,758-3,22.51,,13635,0,6,11,2016
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,24000,10,9,11,2020
마곡동,202607,오피스텔_전월세,마곡에비앙,마곡동,793-3,18.97,,3000,65,5,1,2015
염창동,202607,오피스텔_전월세,서경팰리스,염창동,267-10,28.69,,3000,110,10,5,2018
마곡동,202607,오피스텔_전월세,마곡헤리움2차,마곡동,758-3,22.51,,1000,79,4,8,2016
등촌동,202607,오피스텔_전월세,등촌2차 크라운팰리스,등촌동,641-2,27.9,,25380,12,5,9,2020
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,38.04,,22800,29,13,10,2017
방화동,202607,오피스텔_전월세,오피앙,방화동,830,22.5,,1000,50,5,3,2001
마곡동,202607,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,500,74,9,9,2016
공항동,202607,오피스텔_전월세,대룡드림타워-Ⅱ,공항동,45-19,25.83,,500,50,4,9,2005
화곡동,202607,오피스텔_전월세,연우넥스트파크뷰,화곡동,1110,15.29,,13500,10,3,10,2019
마곡동,202607,오피스텔_전월세,힐스테이트에코동익,마곡동,773-3,24.57,,18900,14,13,10,2017
화곡동,202607,오피스텔_전월세,연우넥스트파크뷰,화곡동,1110,15.29,,1000,62,4,8,2019
방화동,202607,오피스텔_전월세,방화샤르망2오피스텔,방화동,830-5,17.64,,500,38,6,10,2003
마곡동,202607,오피스텔_전월세,마곡아이파크,마곡동,795-2,24.9,,15300,15,10,9,2016
마곡동,202607,오피스텔_전월세,필네이처,마곡동,795-1,22.16,,5500,40,12,1,2016
화곡동,202607,오피스텔_전월세,강서 동도센트리움,화곡동,1161,18.97,,500,52,20,10,2012
화곡동,202607,오피스텔_전월세,르미엘,화곡동,987-3,20.96,,1000,85,12,10,2022
화곡동,202607,오피스텔_전월세,리치A110,화곡동,938-11,31.16,,20000,20,13,9,2026
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,21.89,,1000,75,11,10,2017
가양동,202607,오피스텔_전월세,이스타빌2차,가양동,1480-1,35.2,,5000,44,4,7,2003
등촌동,202607,오피스텔_전월세,강변샤르망3단지,등촌동,628-17,58.36,,35000,12,3,10,2005
마곡동,202607,오피스텔_전월세,마곡아이파크,마곡동,795-2,36.98,,29700,0,3,9,2016
마곡동,202607,오피스텔_전월세,엠코지니어스타,마곡동,776-4,22.95,,1000,69,3,10,2015
등촌동,202607,오피스텔_전월세,현대 센트럴 가양,등촌동,640-2,27.99,,24300,10,8,10,2021
마곡동,202607,오피스텔_전월세,마곡 파크뷰 대방디엠시티 오피스텔,마곡동,776,21.25,,16500,12,6,9,2019
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,17.36,,500,56,2,8,
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,30.84,,1000,90,12,7,2017
마곡동,202607,오피스텔_전월세,힐스테이트 에코 마곡역,마곡동,773,20.13,,15700,12,12,9,2017
가양동,202607,오피스텔_전월세,마곡보타닉투웨니퍼스트,가양동,257-1,28.33,,24300,7,2,3,2020
마곡동,202607,오피스텔_전월세,힐스테이트에코동익,마곡동,773-3,25.26,,18000,0,6,2,2017
마곡동,202607,오피스텔_전월세,마곡오드카운티1차,마곡동,784-11,16.57,,3000,58,10,7,2016
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔 엘동,마곡동,758-1,21.87,,1000,75,6,9,2017
등촌동,202607,오피스텔_전월세,뉴스토리오피스텔,등촌동,683-1,17.52,,12000,5,2,4,2013
내발산동,202607,오피스텔_전월세,더 자하,내발산동,702-4,25.95,,2000,132,5,2,2022
마곡동,202607,오피스텔_전월세,우성르보아,마곡동,793-6,19.36,,500,72,10,3,2015
화곡동,202607,오피스텔_전월세,크라운뷰,화곡동,982-17,51.14,,10000,54,10,9,2009
등촌동,202607,오피스텔_전월세,등촌 미르웰 한올림 3차,등촌동,656-58,14.41,,12150,17,9,4,2018
등촌동,202607,오피스텔_전월세,라빌라스,등촌동,637-19,29.91,,23000,15,5,8,2018
화곡동,202607,오피스텔_전월세,남광아파트,화곡동,920-15,51.89,,21800,0,4,8,
마곡동,202607,오피스텔_전월세,아르디에,마곡동,784-13,18.59,,11250,7,3,7,2015
마곡동,202607,오피스텔_전월세,힐스테이트 에코 마곡역,마곡동,773,19.97,,1000,80,8,1,2017
화곡동,202607,오피스텔_전월세,한양 더챔버,화곡동,1064,52.67,,50000,0,13,7,2024
등촌동,202607,오피스텔_전월세,루미에르,등촌동,641-12,19.99,,21500,0,5,9,2024
마곡동,202607,오피스텔_전월세,마곡헤리움2차,마곡동,758-3,22.51,,13600,15,6,8,2016
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,20.1,,14500,8,11,3,2017
가양동,202607,오피스텔_전월세,세종보타닉2차,가양동,251-2,29.98,,24400,0,10,8,2020
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,20.82,,13200,10,10,8,
마곡동,202607,오피스텔_전월세,마곡시티오피스텔,마곡동,758,45.58,,33000,0,13,8,2016
마곡동,202607,오피스텔_전월세,마곡나루역캐슬파크,마곡동,760-2,23.39,,1000,90,6,8,2016
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,19.96,,500,63,4,7,2017
가양동,202607,오피스텔_전월세,마곡파크뷰에이동,가양동,275-1,28.89,,20350,0,2,8,2017
마곡동,202607,오피스텔_전월세,마곡시티오피스텔,마곡동,758,24.4,,16000,0,2,2,2016
등촌동,202607,오피스텔_전월세,(115-6),등촌동,828,13.92,,15000,0,5,2,2020
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,24.07,,13700,10,14,8,2015
등촌동,202607,오피스텔_전월세,경동미르웰양천향교2차,등촌동,685,29.68,,23400,7,9,6,2020
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,24.07,,14000,0,10,8,2015
화곡동,202607,오피스텔_전월세,유진아파트,화곡동,938-24,55.74,,19400,0,2,5,2015
등촌동,202607,오피스텔_전월세,등촌 미르웰 한올림 3차,등촌동,656-58,15.38,,13200,10,14,7,2018
등촌동,202607,오피스텔_전월세,유원더블레스,등촌동,637-27,21.49,,21800,4,4,8,2020
등촌동,202607,오피스텔_전월세,현대 센트럴 가양,등촌동,640-2,27.99,,23500,10,9,2,2021
등촌동,202607,오피스텔_전월세,경동미르웰한올림,등촌동,656,16.19,,12000,15,7,8,2016
화곡동,202607,오피스텔_전월세,(920-5),화곡동,920-5,29.71,,12500,0,4,4,2014
등촌동,202607,오피스텔_전월세,등촌2차 크라운팰리스,등촌동,641-2,37.3,,3000,130,2,3,2020
마곡동,202607,오피스텔_전월세,마곡 헤리움1차,마곡동,739-4,29.14,,16100,18,4,2,2015
가양동,202607,오피스텔_전월세,(184-5),가양동,184-5,39.1,,28400,4,3,8,2017
화곡동,202607,오피스텔_전월세,아덴하임,화곡동,24-92,26.63,,19000,8,13,1,2020
화곡동,202607,오피스텔_전월세,강서구청 파크뷰 에버,화곡동,987-1,15.43,,1500,65,3,2,2020
마곡동,202607,오피스텔_전월세,미르웰플러스오피스텔,마곡동,784-4,19.46,,12600,10,8,7,2015
화곡동,202607,오피스텔_전월세,자하클래식,화곡동,24-39,15.88,,11700,0,2,6,2018
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,21.86,,1000,80,10,8,2017
화곡동,202607,오피스텔_전월세,엠제이타운,화곡동,981-3,28.24,,3000,95,17,4,2020
등촌동,202607,오피스텔_전월세,등촌동 Y HAUS 오피스텔,등촌동,633-24,28.3,,1000,100,12,7,2020
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,1000,79,8,6,2017
화곡동,202607,오피스텔_전월세,원타워 5차 오피스텔,화곡동,987-7,17.04,,14490,10,17,7,2021
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,19.96,,14400,20,13,7,2017
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,32.88,,2000,130,9,7,2017
화곡동,202607,오피스텔_전월세,크라운뷰,화곡동,982-17,42.72,,2000,68,8,7,2009
화곡동,202607,오피스텔_전월세,엠제이타운,화곡동,981-3,28.24,,5500,55,10,1,2020
가양동,202607,오피스텔_전월세,가양글로벌퍼스트,가양동,448-11,28.12,,23130,20,7,6,2018
등촌동,202607,오피스텔_전월세,경동미르웰양천향교2차,등촌동,685,29.68,,23100,0,4,7,2020
화곡동,202607,오피스텔_전월세,GS  TOWER,화곡동,24-171,29.59,,3000,124,4,7,2026
마곡동,202607,오피스텔_전월세,마곡일성트루엘플래닛,마곡동,758-2,21.43,,13300,15,4,7,2016
등촌동,202607,오피스텔_전월세,ACE A-ZONE,등촌동,639-8,59.04,,28000,0,5,7,2005
마곡동,202607,오피스텔_전월세,마곡아이파크,마곡동,795-2,24.9,,3000,69,12,1,2016
마곡동,202607,오피스텔_전월세,마곡나루역보타닉푸르지오시티,마곡동,760,22.2,,1000,84,8,1,2017
등촌동,202607,오피스텔_전월세,등촌투웨니퍼스트2차,등촌동,633-17,29.68,,1000,107,13,2,2016
등촌동,202607,오피스텔_전월세,트라비하우스,등촌동,628-18,50.16,,27500,0,5,5,2005
등촌동,202607,오피스텔_전월세,호성스카이오피스텔,등촌동,847,26.79,,21879,0,5,1,2020
마곡동,202607,오피스텔_전월세,마곡오드카운티2차,마곡동,784-9,17.36,,500,68,9,3,
화곡동,202607,오피스텔_전월세,리치A110,화곡동,938-11,31.03,,20000,20,16,6,2026
마곡동,202607,오피스텔_전월세,힐스테이트 에코 마곡역,마곡동,773,19.87,,1000,82,9,6,2017
등촌동,202607,오피스텔_전월세,루미에르,등촌동,641-12,22.44,,21000,0,3,6,2024
마곡동,202607,오피스텔_전월세,마곡럭스나인오피스텔 엘동,마곡동,758-1,25.29,,1000,73,4,6,2017
마곡동,202607,오피스텔_전월세,마곡헤리움2차,마곡동,758-3,22.51,,1000,77,9,6,2016
화곡동,202607,오피스텔_전월세,원타워 5차 오피스텔,화곡동,987-7,17.04,,14600,0,18,3,2021
화곡동,202607,오피스텔_전월세,포유,화곡동,1111-4,17.92,,500,60,8,3,2018
등촌동,202607,오피스텔_전월세,현대프린스텔,등촌동,628-13,23.63,,1000,50,10,3,1999
마곡동,202607,오피스텔_전월세,마곡아이파크,마곡동,795-2,24.9,,8000,48,4,4,2016
마곡동,202607,오피스텔_전월세,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,마곡동,760-1,33.09,,32000,0,14,6,2017
마곡동,202607,오피스텔_전월세,마곡센트럴대방디엠시티오피스텔,마곡동,776-2,24.02,,500,74,10,2,2017
등촌동,202607,오피스텔_전월세,한빛어반뉴스토리,등촌동,656-37,27.31,,3000,100,16,6,2017
